"STATION","NAME","DATE","TAVG","TMAX"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-25","37","41"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-26","36","40"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-27","35","50"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-28","38","60"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-29","39","46"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-30","39","60"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-01-31","40","58"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-01","38","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-02","38","51"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-03","36","58"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-04","37","51"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-05","29","43"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-06","28","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-07","30","49"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-08","29","42"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-09","31","50"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-10","31","46"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-11","34","47"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-12","37","50"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-13","31","42"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-14","39","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-15","40","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1997-02-16","41","57"
